NDC,カテゴリー
537,機械工学 自動車工学
538,機械工学 航空宇宙科学
539,機械工学 原子力工学
540,電気工学
541,電気工学 電気回路・計測・材料
542,電気工学 電気機器
543,電気工学 発電
544,電気工学 送電 変電 配電
545,電気工学 電灯 照明 電熱
546,電気工学 電気鉄道
547,電気工学 通信工学 電気通信
548,電気工学 情報工学
549,電気工学 電子工学
550,海洋工学・船舶工学
551,海洋工学・船舶工学 理論造船学
552,海洋工学・船舶工学 船体構造・材料・施工
553,海洋工学・船舶工学 船体艤装 船舶設備
554,海洋工学・船舶工学 舶用機関[造機]
555,海洋工学・船舶工学 船舶修理 保守
556,海洋工学・船舶工学 各種の船舶・艦艇
557,海洋工学・船舶工学 航海 航海学
558,海洋工学・船舶工学 海洋開発
559,海洋工学・船舶工学 兵器 軍事工学
560,金属工学・鉱山工学
561,金属工学・鉱山工学 採鉱 選鉱
562,金属工学・鉱山工学 各種の金属鉱床・採掘
563,金属工学・鉱山工学 冶金 合金
564,金属工学・鉱山工学 鉄鋼
565,金属工学・鉱山工学 非鉄金属
566,金属工学・鉱山工学 金属加工 製造冶金
567,金属工学・鉱山工学 石炭
568,金属工学・鉱山工学 石油
569,金属工学・鉱山工学 非金属鉱物 土石採取業
570,化学工業
571,化学工業 化学工学 化学機器
572,化学工業 電気化学工業
573,化学工業 セラミックス 窯業 珪酸塩化学
574,化学工業 化学薬品
575,化学工業 燃料 爆発物
576,化学工業 油脂類
577,化学工業 染料
578,化学工業 高分子化学工業
579,その他の化学工業
580,製造工業
581,製造工業 金属製品
582,製造工業 事務機器 家庭機器 楽器
583,製造工業 木工業 木製品
584,製造工業 皮革工業 皮革製品
585,製造工業 パルプ・製紙工業
586,製造工業 繊維工学
587,製造工業 染色加工 染色業
588,製造工業 食品工業
589,その他の雑工業
590,家政学・生活科学
591,家政学・生活科学 家庭経済・経営
592,家政学・生活科学 家庭理工学
593,家政学・生活科学 衣服 裁縫
594,家政学・生活科学 手芸
595,家政学・生活科学 理容 美容
596,家政学・生活科学 食品 料理
597,家政学・生活科学 住居 家具調度
598,家政学・生活科学 家庭衛生
599,家政学・生活科学 育児
600,産業
601,産業政策･行政 総合開発
602,産業史･事情 物産誌
603,産業 参考図書[レファレンスブック]
604,産業 論文集 評論集 講演集
605,産業 逐次刊行物
606,産業 団体
607,産業 研究法 指導法 産業教育
608,産業 叢書 全集 選集
609,産業 度量衡 計量法
610,農業
611,農業経済
612,農業史･事情
613,農業基礎学
614,農業工学
615,農業 作物栽培 作物学
616,農業 食用作物
617,農業 工芸作物
618,農業 繊維作物
619,農業 農産物製造･加工
620,園芸
621,園芸経済･行政･経営
622,園芸史･事情
623,園芸植物学 病虫害
624,園芸 温室 温床 園芸用具
625,園芸 果樹園芸
626,園芸 蔬菜園芸
627,園芸 花卉栽培[草花]
628,園芸利用
629,園芸 造園
630,蚕糸業
631,蚕糸業 蚕糸経済･行政･経営
632,蚕糸業史･事情
633,蚕糸業 蚕学 蚕業基礎学
634,蚕糸業 蚕種
635,蚕糸業 飼育法
636,蚕糸業 くわ、栽桑
637,蚕糸業 蚕室 蚕具
638,蚕糸業 まゆ
639,蚕糸業 製糸 生糸 蚕糸利用
640,畜産業
641,畜産業 畜産経済 行政 経営
642,畜産業 畜産史 事情
643,畜産業 家畜の繁殖 家畜飼料
644,畜産業 家畜の管理 畜舎 用具
645,畜産業 家畜･畜産動物各論
646,畜産業 家禽各論 飼鳥
647,畜産業 みつばち 昆虫 →646.9
648,畜産業 畜産製造 畜産物
649,畜産業 獣医学 比較医学
650,林業
651,林業経済･行政･経営
652,林業 森林史 林業史･事情
653,林業 森林立地 造林
654,林業 森林保護
655,林業 森林施業
656,林業 森林工学
657,林業 森林利用 林産物 木材学
658,林業 林産製造
659,林業 狩猟
660,水産業
661,水産業 水産経済･行政･経営
662,水産業および漁業史･事情
663,水産業 水産基礎学
664,水産業 漁労 漁業各論
665,水産業 漁船 漁具
666,水産業 水産増殖 養殖業
667,水産業 水産製造 水産食品
668,水産業 水産物利用 水産利用工業
669,水産業 製塩 塩業
670,商業
671,商業政策･行政
672,商業史･事情
673,商業経営 商店
674,商業 広告 宣伝
675,商業 マーケティング
676,商業 取引所
678,商業 貿易
680,運輸・交通
681,運輸・交通 交通政策･行政･経営
682,運輸・交通 交通史･事情
683,運輸・交通 海運
684,運輸・交通 内水･運河交通
685,運輸・交通 陸運 自動車運送
686,運輸・交通 鉄道
687,運輸・交通 航空運送
688,運輸・交通 倉庫業
689,運輸・交通 観光事業
690,通信事業
691,通信事業･行政･法令
692,通信事業史･事情
693,通信事業 郵便 郵政事業
694,通信事業 電気通信事業
699,通信事業 放送事業
700,芸術・美術
701,芸術・美術 芸術理論 美学
702,芸術・美術 芸術史 美術史
703,芸術・美術 参考図書[レファレンスブック]
704,芸術・美術 論文集 評論集 講演集
705,芸術・美術 逐次刊行物
706,芸術・美術 団体
707,芸術・美術 研究法 指導法 芸術教育
708,芸術・美術 叢書 全集 選集
709,芸術・美術 芸術政策 文化財
710,彫刻
711,彫刻 彫塑材料・技法
712,彫刻史 各国の彫刻
713,彫刻 木彫
714,彫刻 石彫
715,彫刻 金属彫刻 鋳造
717,彫刻 粘土彫刻 塑像
718,彫刻 仏像
719,彫刻 オブジェ
720,絵画
721,絵画 日本画
722,絵画 東洋画
723,絵画 洋画
724,絵画材料・技法
725,絵画 素描 描画
726,絵画 漫画 挿絵 童画
727,絵画 グラッフィクデザイン 図案
728,絵画 書 書道
730,版画
731,版画材料・技法
732,版画史 各国の版画
733,版画 木版画
734,版画 石版画
735,版画 銅版画 鋼版画
736,版画 リノリウム版画 ゴム版画
737,版画 写真版画 孔版画
739,版画 印章 篆刻 印譜
740,写真
742,写真器械・材料
743,写真 撮影技術
744,写真 現象 印画
745,写真 複写技術
746,写真 特殊写真
747,写真の応用
748,写真集
749,写真 印刷
750,工芸
751,工芸 陶磁工芸
752,工芸 漆工芸
753,工芸 染織工芸
754,工芸 木竹工芸
755,工芸 宝石・牙角・皮革工芸
756,工芸 金工芸
757,工芸 デザイン 装飾美術
758,工芸 美術家具
759,工芸 人形玩具
760,音楽
761,音楽の一般理論 音楽学
762,音楽史 各国の音楽
763,音楽 楽器 器楽
764,音楽 器楽合奏
765,音楽 宗教音楽 聖楽
766,音楽 劇音楽
767,音楽 声楽
768,音楽 邦楽
769,音楽 舞踏 バレエ
770,演劇
771,演劇 劇場 演出 演技
772,演劇史 各国の演劇
773,演劇 能楽 狂言
774,演劇 歌舞伎
775,演劇 各種の演劇
777,演劇 人形劇
778,演劇 映画
779,演劇 大衆演芸
780,スポーツ・体育
781,スポーツ・体育 体操 遊戯
782,スポーツ・体育 陸上競技
783,スポーツ・体育 球技
784,スポーツ・体育 冬季競技
785,スポーツ・体育 水上競技
786,スポーツ・体育 戸外レクリエーション
787,スポーツ・体育 釣魚 遊猟
788,スポーツ・体育 相撲 拳闘 競馬
789,スポーツ・体育 武術
790,諸芸・娯楽
791,諸芸・娯楽 茶道
792,諸芸・娯楽 香道
793,諸芸・娯楽 花道
794,諸芸・娯楽 撞球
795,諸芸・娯楽 囲碁
796,諸芸・娯楽 将棋
797,諸芸・娯楽 射倖ゲーム
798,諸芸・娯楽 室内娯楽
799,諸芸・娯楽 ダンス
800,言語
801,言語学
802,言語史・事情 言語政策
803,言語 参考図書[レファレンスブック]
804,言語 論文集 評論集 講演集
805,言語 逐次刊行物
806,言語 団体
807,言語 研究法 指導法 言語教育
808,言語 叢書 全集 選集
809,言語生活
810,日本語
811,日本語 音声 音韻 文字
812,日本語 語源 意味
813,日本語 辞典
814,日本語 語彙
815,日本語 文法 語法
816,日本語 文章 文体 作文
817,日本語 読本 解釈 会話
818,日本語 方言 訛語
820,中国語
821,中国語 音声 音韻 文字
822,中国語 語源 意味
823,中国語 辞典
824,中国語 語彙
825,中国語 文法 語法
826,中国語 文章 文体 作文
827,中国語 読本 解釈 会話
828,中国語 方言 訛語
829,その他の東洋諸言語
830,英語
831,英語 音声 音韻 文字
832,英語 語源 意味
833,英語 辞典
834,英語 語彙
835,英語 文法 語法
836,英語 文章 文体 作文
837,英語 読本 解釈 会話
838,英語 方言 訛語
840,ドイツ語
841,ドイツ語 音声 音韻 文字
842,ドイツ語 語源 意味
843,ドイツ語 辞典
844,ドイツ語 語彙
845,ドイツ語 文法 語法
846,ドイツ語 文章 文体 作文
847,ドイツ語 読本 解釈 会話
848,ドイツ語 方言 訛語
849,その他のゲルマン諸語
850,フランス語
851,フランス語 音声 音韻 文字
852,フランス語 語源 意味
853,フランス語 辞典
854,フランス語 語彙
855,フランス語 文法 語法
856,フランス語 文章 文体 作文
857,フランス語 読本 解釈 会話
858,フランス語 方言 訛語
859,フランス語 プロヴァンス語
860,スペイン語
861,スペイン語 音声 音韻 文字
862,スペイン語 語源 意味
863,スペイン語 辞典
864,スペイン語 語彙
865,スペイン語 文法 語法
866,スペイン語 文章 文体 作文
867,スペイン語 読本 解釈 会話
868,スペイン語 方言 訛語
869,スペイン語 ポルトガル語
870,イタリア語
871,イタリア語 音声 音韻 文字
872,イタリア語 語源 意味
873,イタリア語 辞典
874,イタリア語 語彙
875,イタリア語 文法 語法
876,イタリア語 文章 文体 作文
877,イタリア語 読本 解釈 会話
878,イタリア語 方言 訛語
879,その他のロマンス諸語
880,ロシア語
881,ロシア語 音声 音韻 文字
882,ロシア語 語源 意味
883,ロシア語 辞典
884,ロシア語 語彙
885,ロシア語 文法 語法
886,ロシア語 文章 文体 作文
887,ロシア語 読本 解釈 会話
888,ロシア語 方言 訛語
889,その他のスラヴ諸語
890,その他の諸言語
891,ギリシア語
892,ラテン語
893,その他のヨーロッパの諸言語
894,アフリカの諸言語
895,アメリカの諸言語
897,オーストラリアの諸言語
899,国際語[人工語]
900,文学
901,文学理論 作法
902,文学史 文学思想史
903,文学 参考図書[レファレンスブック]
904,文学 論文集 評論集 講演集
905,文学 逐次刊行物
906,文学 団体
907,文学 研究法 指導法 文学教育
908,文学 叢書 全集 選集
909,文学 児童文学研究
910,日本文学
911,日本文学 詩歌
912,日本文学 戯曲
913,日本文学 小説 物語
914,日本文学 評論 エッセイ 随筆
915,日本文学 日記 書簡 紀行
916,日本文学 記録 手記 ルポルタージュ
917,日本文学 箴言 アフォリズム 寸言
918,日本文学 作品集
919,日本文学 漢詩文 日本漢文学
920,中国文学
921,中国文学 詩歌 韻文 詩文
922,中国文学 戯曲
923,中国文学 小説 物語
924,中国文学 評論 エッセイ 随筆
925,中国文学 日記 書簡 紀行
926,中国文学 記録 手記 ルポルタージュ
927,中国文学 箴言 アフォリズム 寸言
928,中国文学 作品集
929,その他の東洋文学
930,英米文学
931,英米文学 詩
932,英米文学 戯曲
933,英米文学 小説 物語
934,英米文学 評論 エッセイ 随筆
935,英米文学 日記 書簡 紀行
936,英米文学 記録 手記 ルポルタージュ
937,英米文学 箴言 アフォリズム 寸言
938,英米文学 作品集
939,英米文学 アメリカ文学
940,ドイツ文学
941,ドイツ文学 詩
942,ドイツ文学 戯曲
943,ドイツ文学 小説 物語
944,ドイツ文学 評論 エッセイ 随筆
945,ドイツ文学 日記 書簡 紀行
946,ドイツ文学 記録 手記 ルポルタージュ
947,ドイツ文学 箴言 アフォリズム 寸言
948,ドイツ文学 作品集
949,その他のゲルマン文学
950,フランス文学
951,フランス文学 詩
952,フランス文学 戯曲
953,フランス文学 小説 物語
954,フランス文学 評論 エッセイ 随筆
955,フランス文学 日記 書簡 紀行
956,フランス文学 記録 手記 ルポルタージュ
957,フランス文学 箴言 アフォリズム 寸言
958,フランス文学 作品集
959,フランス文学 プロヴァンス文学
960,スペイン文学
961,スペイン文学 詩
962,スペイン文学 戯曲
963,スペイン文学 小説 物語
964,スペイン文学 評論 エッセイ 随筆
965,スペイン文学 日記 書簡 紀行
966,スペイン文学 記録 手記 ルポルタージュ
967,スペイン文学 箴言 アフォリズム 寸言
968,スペイン文学 作品集
969,スペイン文学 ポルトガル文学
970,イタリア文学
971,イタリア文学 詩
972,イタリア文学 戯曲
973,イタリア文学 小説 物語
974,イタリア文学 評論 エッセイ 随筆
975,イタリア文学 日記 書簡 紀行
976,イタリア文学 記録 手記 ルポルタージュ
977,イタリア文学 箴言 アフォリズム 寸言
978,イタリア文学 作品集
979,その他のロマンス文学
980,ロシア・ソヴィエト文学
981,ロシア・ソヴィエト文学 詩
982,ロシア・ソヴィエト文学 戯曲
983,ロシア・ソヴィエト文学 小説 物語
984,ロシア・ソヴィエト文学 評論 エッセイ 随筆
985,ロシア・ソヴィエト文学 日記 書簡 紀行
986,ロシア・ソヴィエト文学 記録 手記 ルポルタージュ
987,ロシア・ソヴィエト文学 箴言 アフォリズム 寸言
988,ロシア・ソヴィエト文学 作品集
989,その他のスラヴ文学
990,その他の諸文学
991,ギリシア文学
992,ラテン文学
993,その他のヨーロッパ文学
994,アフリカ文学
995,アメリカ先住民語の文学
997,オーストラリア先住民語の文学
999,国際語による文学
000,総記
002,総記 知識・学問・学術
002.7,総記 知識・学問・学術 研究法 調査法
007,総記 情報科学
007.1,総記 情報科学 情報理論
007.2,総記 情報科学 歴史 事情
007.3,総記 情報科学 情報と社会
007.35,総記 情報科学 情報産業 情報サービス
007.4,総記 情報科学 情報源
007.5,総記 情報科学 ドキュメンテーション 情報管理
007.6,総記 情報科学 データ処理 情報処理
007.61,総記 情報科学 システム分析 システム設計
007.63,総記 情報科学 コンピュータシステム ソフトウェア
007.64,総記 情報科学 コンピュータプログラミング
007.65,総記 情報科学 各種の記憶媒体
007.68,総記 情報科学 情報検索 機械検索
007.7,総記 情報科学 情報システム
010,総記 図書館・図書館学
010.1,総記 図書館・図書館学 図書館論 図書館と自由
010.7,総記 図書館・図書館学 研究法 指導法 図書館学教育 職員の養成
011,総記 図書館・図書館学 図書館政策・図書館行財政
011.1,総記 図書館・図書館学 図書館政策・図書館行財政 図書館行政
011.2,総記 図書館・図書館学 図書館政策・図書館行財政 図書館法令および基準
011.3,総記 図書館・図書館学 図書館政策・図書館行財政 図書館計画 図書館相互協力
011.4,総記 図書館・図書館学 図書館政策・図書館行財政 図書館財政
011.5,総記 図書館・図書館学 図書館政策・図書館行財政 図書館に対する特典
011.9,総記 図書館・図書館学 図書館政策・図書館行財政 国際資料交換
012,総記 図書館・図書館学 図書館建築・図書館設備
012.1,総記 図書館・図書館学 図書館建築・図書館設備 建築計画
012.2,総記 図書館・図書館学 図書館建築・図書館設備 建設材料および構造
012.3,総記 図書館・図書館学 図書館建築・図書館設備 建築設計・製図
012.4,総記 図書館・図書館学 図書館建築・図書館設備 書庫 書架
012.5,総記 図書館・図書館学 図書館建築・図書館設備 利用者用諸室
012.6,総記 図書館・図書館学 図書館建築・図書館設備 講堂 集会室 展示室 視聴覚室
012.7,総記 図書館・図書館学 図書館建築・図書館設備 事務室 その他管理部門の諸室
012.8,総記 図書館・図書館学 図書館建築・図書館設備 図書館設備
012.9,総記 図書館・図書館学 図書館建築・図書館設備 図書館用品 図書館備品
013,総記 図書館・図書館学 図書館管理
013.1,総記 図書館・図書館学 図書館管理 図書館職員 人事管理
013.2,総記 図書館・図書館学 図書館管理 図書館の組織 事務分掌 スタッフマニュアル
013.3,総記 図書館・図書館学 図書館管理 図書館協議会
