"seq","date","USD","EUR","AUD"
96,04/06/2007,118.705,158.848,97.1618
97,04/07/2007,118.949,159.462,97.3074
98,04/08/2007,119.31,159.592,97.4181
99,04/09/2007,119.309,159.592,97.4174
100,04/10/2007,119.322,159.478,97.4205
101,04/11/2007,119.12,159.724,97.996
102,04/12/2007,119.222,160.073,98.3719
103,04/13/2007,119.269,160.543,98.5274
104,04/14/2007,118.871,160.685,98.9069
105,04/15/2007,119.304,161.375,99.4609
106,04/16/2007,119.32,161.409,99.4741
107,04/17/2007,119.509,161.982,99.6035
108,04/18/2007,119.39,161.742,99.5709
109,04/19/2007,118.636,161.161,99.2077
110,04/20/2007,118.179,160.691,98.6277
111,04/21/2007,118.665,161.514,99.151
112,04/22/2007,118.725,161.343,99.4741
113,04/23/2007,118.725,161.343,99.4746
114,04/24/2007,118.653,161.12,99.0018
115,04/25/2007,118.585,161.07,98.1598
116,04/26/2007,118.553,161.714,98.5732
117,04/27/2007,119.034,162.183,98.917
118,04/28/2007,119.516,162.742,98.9693
119,04/29/2007,119.675,163.349,99.3558
120,04/30/2007,119.67,163.34,99.3529
121,05/01/2007,119.509,162.877,99.0495
122,05/02/2007,119.57,163.098,99.1971
123,05/03/2007,119.995,163.096,99.032
124,05/04/2007,120.223,163.385,99.124
125,05/05/2007,120.295,163.188,98.7037
126,05/06/2007,120.241,163.397,98.8004
127,05/07/2007,120.239,163.397,98.7959
128,05/08/2007,119.992,163.276,98.9146
129,05/09/2007,119.909,162.819,99.2913
130,05/10/2007,119.886,162.352,99.3279
131,05/11/2007,120.195,162.553,99.8492
132,05/12/2007,119.915,161.779,99.4366
133,05/13/2007,120.244,162.611,100.021
134,05/14/2007,120.247,162.62,100.025
135,05/15/2007,120.287,162.891,100.226
136,05/16/2007,120.363,163.151,100.221
137,05/17/2007,120.445,163.527,99.9902
138,05/18/2007,121.007,163.54,99.7699
139,05/19/2007,121.211,163.557,99.7574
140,05/20/2007,121.174,163.669,99.7438
141,05/21/2007,121.169,163.665,99.7397
142,05/22/2007,121.36,163.715,99.7714
143,05/23/2007,121.485,163.497,99.7772
144,05/24/2007,121.641,163.703,100.039
145,05/25/2007,121.493,163.352,99.883
146,05/26/2007,121.435,163.154,99.4737
147,05/27/2007,121.839,163.754,99.6896
148,05/28/2007,121.84,163.754,99.6909
149,05/29/2007,121.703,163.726,99.7177
150,05/30/2007,121.56,163.635,99.5712
151,05/31/2007,121.587,163.378,99.6576
152,06/01/2007,121.655,163.521,100.384
153,06/02/2007,121.917,163.898,101.135
154,06/03/2007,122.155,164.221,101.776
155,06/04/2007,122.155,164.221,101.776
156,06/05/2007,121.94,164.152,101.573
157,06/06/2007,121.644,164.322,101.721
158,06/07/2007,121.254,163.877,101.978
159,06/08/2007,121.194,163.391,102.34
160,06/09/2007,121.351,162.498,102.167
161,06/10/2007,121.775,162.835,102.907
162,06/11/2007,121.775,162.837,102.909
163,06/12/2007,121.718,162.522,102.597
164,06/13/2007,121.737,162.46,102.654
165,06/14/2007,122.127,162.371,102.609
166,06/15/2007,122.856,163.492,102.918
167,06/16/2007,123.249,164.297,103.25
168,06/17/2007,123.495,165.314,104.029
169,06/18/2007,123.495,165.315,104.031
170,06/19/2007,123.66,165.81,104.058
171,06/20/2007,123.562,165.75,104.284
172,06/21/2007,123.451,165.74,104.489
173,06/22/2007,123.633,165.578,104.529
174,06/23/2007,123.962,166.222,105.072
175,06/24/2007,123.93,166.902,105.019
176,06/25/2007,123.933,166.907,105.024
177,06/26/2007,123.753,166.589,104.998
178,06/27/2007,123.348,166.039,104.547
179,06/28/2007,122.739,164.979,103.272
180,06/29/2007,123.005,165.556,103.711
181,06/30/2007,123.318,166.168,104.669
182,07/01/2007,123.221,166.838,104.684
183,07/02/2007,123.218,166.833,104.686
184,07/03/2007,122.771,166.614,104.912
185,07/04/2007,122.4,166.655,104.839
186,07/05/2007,122.49,166.775,104.973
187,07/06/2007,122.716,167.081,105.234
188,07/07/2007,123.161,167.519,105.517
189,07/08/2007,123.396,168.137,105.929
190,07/09/2007,123.397,168.142,105.917
191,07/10/2007,123.466,168.213,106.087
192,07/11/2007,122.97,167.895,105.777
193,07/12/2007,121.724,167.383,104.815
194,07/13/2007,122.301,168.376,105.542
195,07/14/2007,122.335,168.63,106.155
196,07/15/2007,121.987,168.118,106.293
197,07/16/2007,121.986,168.115,106.298
198,07/17/2007,121.897,168.013,106.333
199,07/18/2007,122.037,168.171,106.553
200,07/19/2007,121.956,168.284,106.852
201,07/20/2007,121.986,168.433,107.174
202,07/21/2007,121.957,168.351,107.325
203,07/22/2007,121.323,167.731,106.819
204,07/23/2007,121.329,167.742,106.821
205,07/24/2007,121.258,167.607,106.961
206,07/25/2007,120.751,166.908,106.809
207,07/26/2007,120.242,165.58,106.273
208,07/27/2007,120.025,164.7,105.868
209,07/28/2007,118.839,162.764,102.763
210,07/29/2007,118.664,161.769,101.118
211,07/30/2007,118.66,161.76,101.112
212,07/31/2007,118.525,161.846,100.887
213,08/01/2007,119.08,163.191,102.275
214,08/02/2007,118.385,161.79,100.702
215,08/03/2007,118.912,162.561,101.676
216,08/04/2007,119,163.291,102.001
217,08/05/2007,118.104,162.645,100.969
218,08/06/2007,118.093,162.637,100.961
219,08/07/2007,117.814,162.704,100.834
220,08/08/2007,118.687,163.635,101.64
221,08/09/2007,119.195,164.109,102.313
222,08/10/2007,119.138,163.882,102.302
223,08/11/2007,118.033,161.426,99.8137
224,08/12/2007,118.447,162.18,100.063
225,08/13/2007,118.442,162.175,100.048
226,08/14/2007,118.264,161.632,99.9047
227,08/15/2007,118.083,160.487,99.0469
228,08/16/2007,117.18,158.168,97.0004
229,08/17/2007,115.261,154.633,92.3246
230,08/18/2007,113.577,152.742,89.4163
231,08/19/2007,114.393,154.126,91.2738
232,08/20/2007,114.398,154.132,91.284
233,08/21/2007,114.704,154.694,91.6969
234,08/22/2007,114.649,154.533,91.9863
235,08/23/2007,114.726,154.74,92.0887
236,08/24/2007,116.006,157.271,94.5341
237,08/25/2007,116.089,157.853,95.394
238,08/26/2007,116.483,159.297,96.3866
239,08/27/2007,116.484,159.304,96.39
240,08/28/2007,116.26,158.857,96.5313
241,08/29/2007,115.364,157.355,95.0668
242,08/30/2007,114.657,156.104,93.279
243,08/31/2007,115.732,157.922,94.6304
244,09/01/2007,116.098,158.54,95.0919
245,09/02/2007,115.824,157.813,94.8392
246,09/03/2007,115.825,157.817,94.8327
247,09/04/2007,115.895,157.983,95.1263
248,09/05/2007,115.875,157.637,95.4652
249,09/06/2007,115.793,157.642,95.3334
250,09/07/2007,115.278,157.476,95.0335
251,09/08/2007,114.739,157.292,94.9822
252,09/09/2007,113.434,156.158,93.7992
253,09/10/2007,113.419,156.145,93.7836
254,09/11/2007,113.314,156.214,93.2589
255,09/12/2007,113.775,157.11,94.1708
256,09/13/2007,114.133,158.232,95.4788
257,09/14/2007,114.665,159.325,96.3392
258,09/15/2007,115.011,159.547,96.5901
259,09/16/2007,115.411,160.119,97.1957
260,09/17/2007,115.41,160.122,97.1924
261,09/18/2007,115.133,159.695,96.7303
262,09/19/2007,115.272,159.913,96.2089
263,09/20/2007,115.971,161.998,98.9133
264,09/21/2007,115.404,161.795,99.3423
265,09/22/2007,115.163,162.096,99.6795
266,09/23/2007,115.551,162.792,100.134
267,09/24/2007,115.55,162.792,100.13
268,09/25/2007,115.075,162.254,99.8344
269,09/26/2007,114.638,161.608,99.3462
270,09/27/2007,115.115,162.689,100.566
271,09/28/2007,115.549,163.435,101.525
272,09/29/2007,115.216,163.447,101.697
273,09/30/2007,114.913,163.844,101.996
274,10/01/2007,114.909,163.844,101.995
275,10/02/2007,115.361,164.352,102.722
276,10/03/2007,115.681,164.186,102.662
277,10/04/2007,116.108,164.4,103.024
278,10/05/2007,116.598,164.472,103.142
279,10/06/2007,116.611,164.776,103.991
280,10/07/2007,117.034,165.41,105.056
281,10/08/2007,117.029,165.415,105.052
282,10/09/2007,117.263,165.395,105.406
283,10/10/2007,117.214,164.691,104.861
284,10/11/2007,117.25,165.631,105.399
285,10/12/2007,117.368,166.413,105.788
286,10/13/2007,117.4,166.542,105.846
287,10/14/2007,117.652,166.807,106.457
288,10/15/2007,117.653,166.799,106.451
289,10/16/2007,117.58,166.907,106.33
290,10/17/2007,117.033,165.995,104.54
291,10/18/2007,116.693,165.494,103.712
292,10/19/2007,116.149,165.512,103.692
293,10/20/2007,115.233,164.612,103.069
294,10/21/2007,114.565,163.837,102.03
295,10/22/2007,114.53,163.806,102.001
296,10/23/2007,113.99,162.532,100.895
297,10/24/2007,114.574,162.856,102.143
298,10/25/2007,114.441,163.012,102.903
299,10/26/2007,114.136,163.017,103.204
300,10/27/2007,114.254,164.003,104.261
301,10/28/2007,114.229,164.392,104.941
302,10/29/2007,114.229,164.401,104.941
303,10/30/2007,114.399,164.876,105.495
304,10/31/2007,114.665,165.234,105.449
305,11/01/2007,114.971,166.089,106.117
306,11/02/2007,115.306,166.645,106.914
307,11/03/2007,114.717,165.92,105.321
308,11/04/2007,114.717,165.92,105.932
309,11/05/2007,114.76,166.58,105.932
310,11/06/2007,114.518,165.874,105.347
311,11/07/2007,114.573,166.284,105.854
312,11/08/2007,113.835,166.573,106.416
313,11/09/2007,112.762,165.262,104.49
314,11/10/2007,111.948,164.479,103.34
315,11/11/2007,110.748,162.543,101.012
316,11/12/2007,110.723,162.51,100.941
317,11/13/2007,110.112,160.848,98.409
318,11/14/2007,110.068,160.48,97.7962
319,11/15/2007,111.22,163.026,100.274
320,11/16/2007,111.079,162.723,99.4302
321,11/17/2007,110.402,161.472,98.0473
322,11/18/2007,111.127,162.898,99.2403
323,11/19/2007,111.13,162.909,99.2428
324,11/20/2007,110.511,162.003,98.5586
325,11/21/2007,110.037,162.01,97.4273
326,11/22/2007,109.102,161.73,96.0974
327,11/23/2007,108.668,161.351,94.8145
328,11/24/2007,108.118,160.632,94.3919
329,11/25/2007,108.334,160.729,95.1163
330,11/26/2007,108.328,160.714,95.1537
331,11/27/2007,108.433,160.917,95.59
332,11/28/2007,108.047,160.522,94.5253
333,11/29/2007,109.185,161.486,95.8908
334,11/30/2007,109.979,162.668,97.1898
335,12/01/2007,110.427,162.758,97.7692
336,12/02/2007,111.26,162.65,98.3284
337,12/03/2007,111.302,162.841,98.4679
338,12/04/2007,110.621,162.145,97.5858
339,12/05/2007,110.112,161.806,96.4345
340,12/06/2007,110.29,162.373,96.0295
341,12/07/2007,110.987,162.063,96.8166
342,12/08/2007,111.447,163.12,97.8487
343,12/09/2007,111.729,163.757,97.9252
344,12/10/2007,111.724,163.75,97.9135
345,12/11/2007,111.646,163.848,98.1106
346,12/12/2007,111.784,164.414,99.0734
347,12/13/2007,111.303,163.387,97.9374
348,12/14/2007,111.984,164.464,98.6124
349,12/15/2007,112.699,164.099,98.3278
350,12/16/2007,113.329,163.506,97.5902
351,12/17/2007,113.326,163.488,97.5821
352,12/18/2007,113.236,163.049,97.4178
353,12/19/2007,113.19,163.01,97.2982
354,12/20/2007,113.231,163.021,97.4744
355,12/21/2007,113.185,162.534,97.2174
356,12/22/2007,113.385,162.797,97.93
357,12/23/2007,114.095,164.039,98.9795
358,12/24/2007,114.088,164.04,98.9735
359,12/25/2007,114.207,164.322,99.3014
360,12/26/2007,114.225,164.394,99.4645
361,12/27/2007,114.185,164.819,99.5834
362,12/28/2007,114.209,165.848,99.9392
363,12/29/2007,113.278,166.016,99.1995
364,12/30/2007,112.364,165.431,98.4755
365,12/31/2007,112.35,165.416,98.482
366,01/01/2008,112.05,164.726,98.4625
367,01/02/2008,111.719,162.97,97.807
368,01/03/2008,111.269,163.07,97.8965
369,01/04/2008,109.396,161.09,96.5185
370,01/05/2008,109.074,160.817,95.9061
371,01/06/2008,108.652,160.164,94.7988
372,01/07/2008,108.656,160.165,94.8122
373,01/08/2008,109.01,160.413,95.0942
374,01/09/2008,109.365,160.829,95.9973
375,01/10/2008,109.283,160.645,96.3803
376,01/11/2008,109.722,161.235,97.1124
377,01/12/2008,109.177,161.505,97.6413
378,01/13/2008,108.907,160.891,97.0574
379,01/14/2008,108.902,160.887,97.0419
380,01/15/2008,108.326,160.834,97.0804
381,01/16/2008,107.639,160.026,96.6265
382,01/17/2008,106.599,157.607,93.9512
383,01/18/2008,107.26,157.238,94.6079
384,01/19/2008,106.986,156.61,93.8752
385,01/20/2008,106.906,156.245,93.9989
386,01/21/2008,106.917,156.252,93.9996
387,01/22/2008,106.406,154.519,92.6977
388,01/23/2008,106.269,153.952,91.5403
389,01/24/2008,106.166,155.042,92.1165
390,01/25/2008,106.541,156.122,93.1949
391,01/26/2008,107.334,158.135,94.7391
392,01/27/2008,106.78,156.75,93.9621
393,01/28/2008,106.769,156.74,93.9475
394,01/29/2008,106.636,156.899,93.939
395,01/30/2008,106.836,157.826,94.9119
396,01/31/2008,106.982,158.152,95.0899
397,02/01/2008,106.399,158.04,94.8952
398,02/02/2008,106.389,158.115,95.5947
399,02/03/2008,106.605,157.755,96.4427
400,02/04/2008,106.601,157.755,96.4372
401,02/05/2008,106.798,158.221,96.7617
402,02/06/2008,106.962,157.76,96.7487
403,02/07/2008,106.593,156.003,95.5435
404,02/08/2008,106.57,155.449,95.1957
405,02/09/2008,107.427,155.635,96.1237
406,02/10/2008,107.38,155.753,96.1868
407,02/11/2008,107.368,155.748,96.1886
408,02/12/2008,107.038,155.536,96.5427
409,02/13/2008,107.081,155.675,96.8842
410,02/14/2008,107.539,156.725,96.7934
411,02/15/2008,108.203,157.925,97.5945
412,02/16/2008,107.859,158.086,97.6026
413,02/17/2008,107.864,158.333,98.081
414,02/18/2008,107.89,158.374,98.0952
415,02/19/2008,108.011,158.373,98.4802
416,02/20/2008,107.866,158.573,99.1713
417,02/21/2008,107.898,158.629,98.9
418,02/22/2008,107.989,159.179,99.2287
419,02/23/2008,107.227,158.893,98.7366
420,02/24/2008,107.223,158.962,99.0781
421,02/25/2008,107.245,158.998,99.103
422,02/26/2008,107.596,159.468,99.4435
423,02/27/2008,107.88,160.222,100.145
424,02/28/2008,106.798,160.594,100.066
425,02/29/2008,106.183,160.612,100.147
426,03/01/2008,104.57,158.838,98.565
427,03/02/2008,103.79,157.524,96.6464
428,03/03/2008,103.781,157.502,96.6276
429,03/04/2008,103.204,156.833,96.3638
430,03/05/2008,103.217,156.915,96.2617
431,03/06/2008,103.592,157.582,96.0473
432,03/07/2008,103.564,158.563,96.7263
433,03/08/2008,102.524,157.679,95.3573
434,03/09/2008,102.731,157.722,95.24
435,03/10/2008,102.721,157.708,95.2212
436,03/11/2008,102.173,157.017,94.5139
437,03/12/2008,102.256,157.08,94.1985
438,03/13/2008,102.847,158.486,95.7428
439,03/14/2008,100.769,156.866,94.5369
440,03/15/2008,100.371,156.678,94.5854
441,03/16/2008,99.1414,155.359,92.9603
442,03/17/2008,99.1211,155.325,92.9373
443,03/18/2008,97.3,153.438,90.1643
444,03/19/2008,97.6909,153.935,90.2278
445,03/20/2008,99.3006,155.674,92.1903
446,03/21/2008,99.1633,153.976,90.067
447,03/22/2008,99.467,153.563,89.6624
448,03/23/2008,99.6254,153.684,89.8801
449,03/24/2008,99.6221,153.687,89.8826
450,03/25/2008,100.038,154.068,90.3411
451,03/26/2008,100.408,155.959,91.6105
452,03/27/2008,99.6756,156.302,91.4574
453,03/28/2008,99.3396,156.956,91.4502
454,03/29/2008,99.7202,157.392,91.7269
455,03/30/2008,99.2911,156.798,91.1135
456,03/31/2008,99.2914,156.799,91.108
457,04/01/2008,99.5737,157.314,91.0957
458,04/02/2008,100.466,157.682,91.4355
459,04/03/2008,102.077,159.432,92.8867
460,04/04/2008,102.509,160.277,93.735
461,04/05/2008,102.08,160.408,93.8086
462,04/06/2008,101.527,159.741,93.7134
463,04/07/2008,101.524,159.74,93.714
464,04/08/2008,102.48,160.96,94.97
465,04/09/2008,102.352,161.011,94.8771
466,04/10/2008,102.358,161.087,95.1613
467,04/11/2008,101.194,160.121,94.3104
468,04/12/2008,101.561,160.396,94.5841
469,04/13/2008,101.059,159.727,93.7966
470,04/14/2008,101.093,159.723,93.8079
471,04/15/2008,100.995,159.258,93.3253
472,04/16/2008,101.233,160.15,93.7564
473,04/17/2008,101.573,161.179,94.5953
474,04/18/2008,102.116,162.647,95.7331
475,04/19/2008,103.113,163.451,96.4495
476,04/20/2008,103.734,164.037,96.9846
477,04/21/2008,103.736,164.041,96.9862
478,04/22/2008,103.626,164.306,97.3259
479,04/23/2008,103.118,164.269,97.2986
480,04/24/2008,103.156,164.54,97.9009
481,04/25/2008,103.783,163.83,98.0391
482,04/26/2008,104.351,163.261,97.6726
483,04/27/2008,104.478,163.23,97.5356
484,04/28/2008,104.477,163.232,97.5402
485,04/29/2008,104.514,163.413,97.9223
486,04/30/2008,104.053,162.392,97.3011
487,05/01/2008,104.176,162.138,97.5527
488,05/02/2008,103.979,161.724,97.5714
489,05/03/2008,104.846,161.981,97.85
490,05/04/2008,105.443,162.589,98.5621
491,05/05/2008,105.444,162.59,98.557
492,05/06/2008,105.24,162.744,98.9754
493,05/07/2008,104.73,162.532,99.1615
494,05/08/2008,105.048,162.436,99.4601
495,05/09/2008,104.27,160.196,98.1582
496,05/10/2008,103.322,159.49,97.323
497,05/11/2008,102.911,159.288,97.108
498,05/12/2008,102.911,159.282,97.1001
499,05/13/2008,103.486,159.998,97.4771
500,05/14/2008,104.039,161.319,98.2406
501,05/15/2008,105.002,162.284,98.3587
502,05/16/2008,104.944,162.437,98.1533
503,05/17/2008,104.513,161.977,98.9116
504,05/18/2008,104.103,162.325,99.5016
505,05/19/2008,104.105,162.327,99.5065
506,05/20/2008,104.178,162.126,99.3947
507,05/21/2008,104.001,162.147,99.6169
508,05/22/2008,103.393,162.407,99.3694
509,05/23/2008,103.374,162.893,99.2986
510,05/24/2008,103.595,163.166,99.5025
511,05/25/2008,103.435,163.004,99.2363
512,05/26/2008,103.432,162.998,99.2317
513,05/27/2008,103.377,162.98,99.2529
514,05/28/2008,103.745,163.473,99.6805
515,05/29/2008,104.409,163.667,100.219
516,05/30/2008,105.104,163.813,100.85
517,05/31/2008,105.489,163.767,100.806
518,06/01/2008,105.567,164.179,100.936
519,06/02/2008,105.555,164.163,100.923
520,06/03/2008,105.004,163.17,100.188
521,06/04/2008,104.622,162.456,99.9755
522,06/05/2008,105.026,162.264,100.499
523,06/06/2008,105.727,163.43,101.043
524,06/07/2008,105.75,165.622,101.523
525,06/08/2008,104.95,165.622,100.806
526,06/09/2008,104.975,165.6,101.069
527,06/10/2008,105.494,166.243,101.181
528,06/11/2008,106.811,166.114,101.333
529,06/12/2008,107.302,166.31,101.569
530,06/13/2008,107.478,166.197,100.901
531,06/14/2008,108.088,166.15,101.317
532,06/15/2008,108.256,166.481,101.636
533,06/16/2008,108.24,166.485,101.633
534,06/17/2008,108.245,167.034,101.715
535,06/18/2008,108.053,167.515,101.764
536,06/19/2008,108.029,167.487,101.917
537,06/20/2008,107.798,167.36,102.159
538,06/21/2008,107.564,167.722,102.564
539,06/22/2008,107.382,167.568,102.405
540,06/23/2008,107.378,167.565,102.399
541,06/24/2008,107.589,167.395,102.536
542,06/25/2008,107.927,167.812,102.941
543,06/26/2008,107.93,168.167,103.222
544,06/27/2008,107.657,168.979,103.212
545,06/28/2008,106.592,167.888,102.238
546,06/29/2008,106.168,167.656,102.058
547,06/30/2008,106.169,167.655,102.063
548,07/01/2008,105.969,167.198,101.914
549,07/02/2008,105.895,166.964,101.244
550,07/03/2008,106.127,167.923,101.851
551,07/04/2008,106.272,168.2,102.179
552,07/05/2008,106.74,167.58,102.684
553,07/06/2008,106.854,167.798,102.97
554,07/07/2008,106.853,167.798,102.967
555,07/08/2008,107.23,167.99,102.79
556,07/09/2008,107.081,168.08,102.162
557,07/10/2008,107.336,168.481,102.326
558,07/11/2008,107.007,168.393,102.669
559,07/12/2008,106.796,168.972,102.893
560,07/13/2008,106.326,169.432,102.783
561,07/14/2008,106.321,169.428,102.784
562,07/15/2008,106.459,169.23,103.194
563,07/16/2008,105.415,168.017,103.038
564,07/17/2008,104.526,166.12,102.194
565,07/18/2008,105.442,167.073,102.82
566,07/19/2008,106.49,168.751,103.493
567,07/20/2008,107.009,169.54,103.844
568,07/21/2008,106.981,169.537,103.853
569,07/22/2008,106.839,169.477,104.125
570,07/23/2008,106.641,169.434,103.999
571,07/24/2008,107.573,169.457,104.059
572,07/25/2008,107.741,168.94,103.389
573,07/26/2008,107.422,168.707,102.881
574,07/27/2008,107.89,169.462,103.203
575,07/28/2008,107.887,169.462,103.199
576,07/29/2008,107.737,169.401,103.008
577,07/30/2008,107.694,169.065,102.923
578,07/31/2008,108.054,168.368,102.386
579,08/01/2008,108.036,168.53,101.973
580,08/02/2008,107.76,167.47,100.15
581,08/03/2008,107.736,167.642,100.109
582,08/04/2008,107.735,167.645,100.112
583,08/05/2008,107.887,168.089,100.493
584,08/06/2008,108.115,167.734,99.6586
585,08/07/2008,108.687,168.036,99.4087
586,08/08/2008,109.492,168.783,99.6197
587,08/09/2008,109.785,166.496,98.3179
588,08/10/2008,110.217,165.43,97.9871
589,08/11/2008,110.219,165.43,97.9865
590,08/12/2008,110.007,164.751,97.6464
591,08/13/2008,110,163.877,96.5481
592,08/14/2008,108.957,162.504,94.7366
593,08/15/2008,109.55,163.079,95.6372
594,08/16/2008,110.254,162.518,95.4266
595,08/17/2008,110.554,162.343,95.7821
596,08/18/2008,110.555,162.346,95.78
597,08/19/2008,110.252,162.278,96.0414
598,08/20/2008,109.907,161.527,95.3929
599,08/21/2008,109.908,162.101,95.7827
600,08/22/2008,109.034,161.389,95.2714
601,08/23/2008,109.222,162.17,95.5238
602,08/24/2008,110.06,162.77,95.4198
603,08/25/2008,110.115,162.87,95.4367
604,08/26/2008,109.853,162.111,95.0818
605,08/27/2008,109.613,160.84,93.9495
606,08/28/2008,109.365,160.784,93.8839
607,08/29/2008,109.33,161.265,94.4589
608,08/30/2008,108.996,160.39,93.9786
609,08/31/2008,108.862,159.715,93.4402
610,09/01/2008,108.849,159.711,93.4226
