Blog	入力	!	"	#	&	'	*	チェック	,	0	3	4	5	6	7	8	9	;	<	=	>	?	@	A	B	C	D	img	F	データ	I	[	]	_	a	b	c	d	e	i	m	p	s	t	x	{	}	勉強	http	必要	確認	作業	参加	日本語	今後	一緒	もの	簡単	問題	使用	はず	...	通り	開催	点	可能	重要	間	com	非常	０	１	ダウンロード	２	３	４	５	以前	８	システム	お願い	値	コメント	手	内	円	00	01	02	07	08	20	分	場所	用	別	化	アクセス	的	まま	ん	実行	仕事	名	::	実装	数	</	世界	会社	情報	時	日	><	場合	変換	紹介	話	会場	好き	サイト	関係	ここ	現在	型	機能	利用	処理	そう	そこ	src	変更	PC	表示	プログラム	名前	://	家	みんな	自分	以上	以下	更新	ほう	net	new	index	社会	言葉	店	度	org	br	by	Web	ネット	ところ	後	うち	時間	今	映像	他	何	jp	部分	個人	大変	作成	リンク	今回	さん	参考	to	みたい	技術	ため	結果	The	追加	メール	作品	登録	アップ	html	あと	href	動画	検索	インストール	どこ	ファイル	ソース	100	今年	blog	for	者	アプリケーション	Mac	それぞれ	最初	操作	記事	イベント	ブログ	性	版	環境	感	予定	);	時代	～	公開	僕	側	開発	先	10	11	12	13	便利	14	15	16	状態	30	and	前	音	すべて	クリック	さ	対応	目	www	="	ー	設定	方	the	表現	文字	動作	月	最近	本	2007	2008	誰	私	以外	説明	回	基本	これ	それ	デザイン	次	最後	系	気	意味	状況	日本	普通	with	写真	年	co	一	万	上	下	事	二	中	今日	id	in	is	会	人	方法	サービス	関連	とき	研究	of	画像	on	コード	こちら	画面	存在	わけ	感じ	一番	詳細	内容	東京	たち	メディア	大学	ページ	一つ	言語	発表
ismlog	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	3	0	3	0	0	0	0	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	4	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	1	0	0	0	1	5	0	0	1	0	1	0	0	4	2	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	4	0	0	1	0	0	2	4	0	2	0	0	0	0	1	0	0	0	1
にぽたん研究所	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	4	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	14	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	5	0	0	0	4	0	1	0	0	0	0	1	1	0	1	0	0	2	0	1	1	0	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	2	2	1	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	1	0	0	1	0	8	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	1	3	0	0	0	0	2	0	0	1	0	0	0	2	0	4	2	1	0	0	0	2	1	2	0	0	2	8	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
bkブログ	4	0	88	17	0	73	3	1	27	12	18	6	2	2	1	4	1	15	12	24	22	2	0	13	0	11	0	1	2	5	3	1	1	24	59	43	57	23	2	0	0	10	3	0	8	3	3	1	0	9	0	0	0	1	0	0	14	2	10	1	0	5	4	0	2	0	1	1	0	1	0	2	0	0	0	0	0	1	0	10	0	2	2	5	2	0	0	0	0	1	3	5	0	0	5	3	2	1	11	0	8	5	0	1	6	1	1	0	1	0	0	7	1	0	6	5	4	7	0	0	1	0	3	0	3	6	1	5	13	1	0	1	0	2	6	8	0	0	0	2	4	5	0	1	0	1	0	0	4	0	1	0	0	1	0	0	6	3	0	1	3	0	3	1	5	2	2	0	0	1	0	2	0	4	0	1	7	4	5	0	0	0	0	1	0	0	0	0	1	5	0	3	1	0	1	0	0	1	0	0	1	2	1	12	2	2	2	1	1	1	0	0	0	0	3	0	0	0	0	1	2	0	0	7	1	0	0	2	0	0	1	0	4	0	1	1	1	0	0	3	5	2	6	25	46	0	0	2	8	5	0	0	1	2	6	5	4	17	1	1	8	2	0	4	2	3	0	6	2	4	7	2	2	0	4	0	0	0	3	0	0	3	3	0	1	0	0	0	13	2	4	0	0	11	0	0	0	5	3	1	2	3	0	0	0	0	7	0	11	0
極楽トンボの独り言	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	11	0	0	0	0	0	0	3	0	1	0	0	40	43	0	25	13	12	6	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	14	0	9	0	0	1	1	4	0	0	0	0	4	2	0	2	31	0	1	0	1	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	12	0	0	5	0	0	0	0	0	0	3	1	2	0	0	0	0	0	1	1	0	1	0	4	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	3	1	5	0	0	0	2	3	0	0	0	1	0	2	5	5	0	0	1	0	1	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	18	0	5	0	2	0	0	1	1	17	0	3	1	0	4	0	0	0	2	2	5	0	0	0	43	0	8	4	2	2	0	5	2	0	0	0	0	1	12	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	1	0	1	0
ノエル吉田のコマネチ！！	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	1	1	0	0	0	0	7	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	4	2	0	4	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	2	1	0	0	0	0	1	3	0	0	2	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	2	0	1	0	1	0	0	0	0	1	0	0	2	0	0	4	0	0	0	2	0	0	0	0	1	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0
000studio	0	0	0	0	9	0	0	0	2	3	5	3	3	4	0	3	2	0	0	13	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	1	9	0	1	0	0	0	0	2	4	0	0	0	2	0	0	0	0	1	0	2	8	0	0	0	0	0	0	0	0	5	0	4	0	0	0	1	0	0	3	1	1	8	1	3	1	0	0	0	1	0	7	0	5	0	1	0	0	0	2	0	1	0	0	6	9	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	3	1	0	0	0	0	0	0	9	2	0	0	1	1	0	3	0	0	0	0	1	1	2	0	0	0	0	1	1	3	1	3	1	4	4	0	1	0	1	0	0	0	2	2	0	0	0	0	2	0	0	0	1	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	5	0	0	0	1	0	2	0	3	3	1	0	3	3	0	2	2	0	1	1	0	0	2	0	2	0	1	0	4	0	0	5	0	3	1	2	0	2	0	0	8	2	3	3	0	0	0	0	0	0	0	2	3	2	1	2	0	0	0	0	2	1	0	1	2	0	5	0	0	1	0	1	2	0	0	0	0	3	6	1	0	0	4	3	0	0	0	0	0	0	0	1	1	1	0	0	3	2	1	0	0	1	1	1
鯨뺣ꓣ莳뿣莼闣芧볣芹门궰	5	0	0	1	1	1	2	0	4	8	7	1	1	0	0	1	0	9	0	13	2	2	0	0	0	0	0	0	0	4	0	0	0	15	0	2	0	2	0	2	0	0	0	0	0	3	3	0	15	4	1	0	0	5	0	0	7	0	12	0	1	0	0	0	1	1	1	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	2	3	12	0	16	2	0	2	6	3	1	0	0	0	11	1	0	0	2	0	1	2	0	0	4	0	3	0	0	1	3	0	7	2	0	4	0	5	0	12	16	0	0	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	2	1	1	0	2	6	10	0	4	1	5	4	1	6	0	1	7	1	1	0	0	0	0	0	0	0	5	1	0	3	1	0	1	2	4	0	0	2	1	4	1	4	0	0	0	4	0	3	4	7	0	0	1	1	0	0	13	0	7	4	2	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	2	5	3	3	0	2	5	3	0	0	1	0	0	0	0	0	0	2	0	2	0	0	1	4	3	0	0	0	0	3	3	0	1	0	0	0	0	4	0	0	1	0	0	1	1	0	0	0	0	0	16	0	3	1	1	0	0	2	0	2	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0
古川 享 ブログ	1	1464	866	7	414	4	0	2	17	1116	279	203	314	198	171	207	143	449	343	995	610	307	0	67	32	19	94	467	13	18	9	0	0	504	1114	16	211	7	15	9	17	1188	14	16	8	0	0	1	1091	1	5	6	4	1	5	4	17	0	8	2	1	75	3	4	3	5	1	9	1021	0	2	1	5	6	6	3	1	3	2	2	1	0	1	3	3	4	9	10	12	26	16	6	7	19	1	1	1	0	6	4	6	2	2	4	0	0	11	588	10	1	12	24	37	1497	0	2	4	10	3	0	3	0	2	3	5	7	1	0	24	2	467	1	6	15	3	4	1091	4	0	4	5	10	25	0	13	1	28	0	0	4	7	6	65	3	0	3	11	13	0	15	4	6	3	23	121	0	1	1	1	1	4	51	0	1	1	1	9	4	1	0	3	2	1	4	99	1	554	0	5	3	2	18	0	14	1	8	2	5	10	3	6	4	0	3	5	9	2	11	2	0	5	0	3	0	2	0	0	1	4	15	12	5	5	2	2	230	6	5	5	1	18	5	0	1	2	0	3	118	2718	5	0	5	4	5	0	2	35	5	4	19	57	2	21	1	4	15	2	10	14	6	2	2	0	10	2	1	15	0	1	32	14	71	12	3	17	3	1	0	39	12	0	1	0	4	27	2	2	3	2	4	4	0	1	0	16	5	0	6	0	2	4	6	7	8	7	3	6	0	0	5
unknownplace.org	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
最速転職研究会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
松岡正剛の千夜千冊	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	6	1	0	0	0	1	0	0	0	0	5	0	0	0	1	0	0	0	2	2	0	0	0	1	1	1	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	3	0	2	0	0	1	0	0	0	0	0	0	3	0	0	0	0	2	0	0	9	0	0	0	5	0	3	1	0	0	0	3	0	0	0	0	0	0	4	1	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0
blog.nium.jp	0	0	48	3	2	0	0	1	2	30	22	6	6	6	3	5	1	4	2	23	0	1	0	3	4	2	0	0	0	2	0	27	27	8	0	0	0	1	2	1	0	0	0	0	4	8	8	0	8	11	2	0	0	0	2	0	3	0	5	24	0	0	3	0	4	2	1	2	0	2	0	0	7	0	0	0	0	2	0	0	0	0	3	0	1	0	4	0	1	0	0	0	1	0	2	5	3	2	13	1	5	13	0	4	0	6	0	0	0	0	2	19	0	0	31	1	6	3	0	2	1	0	2	4	1	16	4	65	2	1	0	1	0	8	0	1	8	0	0	1	1	23	0	0	0	19	12	0	0	0	1	7	0	0	1	0	1	0	2	1	1	0	0	4	3	1	1	2	41	2	12	1	0	0	1	0	1	1	0	4	0	0	9	1	0	2	0	0	0	2	1	8	2	0	0	0	0	0	0	1	6	0	2	1	65	0	2	25	2	1	5	18	1	50	0	3	0	15	3	3	3	0	0	3	1	0	0	7	0	0	1	0	0	2	1	6	1	0	2	3	36	5	0	2	0	2	2	0	1	4	0	0	0	2	10	0	7	8	5	0	6	2	1	3	0	2	0	1	0	0	0	0	1	0	1	0	0	0	3	0	2	0	0	0	1	31	0	0	0	0	0	1	0	11	0	0	3	0	1	2	0	7	0	0	0	0	3	1	0	0
jj1bdx: life beyond Japan	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
最速インターフェース研究会	1	0	9	0	0	3	1	1	1	5	0	0	0	1	1	2	2	16	0	34	0	5	1	0	0	0	0	0	3	3	0	2	0	27	0	0	6	5	1	0	6	6	21	4	0	2	2	0	20	3	0	0	2	0	2	0	2	2	6	0	2	0	1	0	0	3	1	0	1	0	0	0	0	0	0	0	0	2	0	0	3	2	0	0	1	2	0	1	1	4	1	2	2	0	0	0	2	2	1	0	2	4	1	0	1	4	2	0	0	1	2	1	5	0	11	0	4	3	0	1	3	3	0	1	0	1	0	2	1	0	4	2	0	4	0	0	24	0	0	1	2	0	1	1	1	6	0	0	0	0	0	5	0	0	0	0	2	0	0	0	1	0	3	1	12	1	1	1	0	4	0	1	0	0	3	1	3	2	0	2	0	0	0	0	5	0	0	8	7	2	0	0	6	6	1	5	2	0	0	0	0	2	1	4	0	2	5	3	0	0	1	7	0	0	1	1	0	2	2	1	1	0	0	0	0	1	0	5	0	0	3	0	0	0	0	1	0	2	0	0	3	1	0	0	0	0	2	0	1	1	1	0	0	1	0	0	0	12	5	0	0	0	2	6	1	0	0	1	1	0	1	3	1	1	0	0	2	0	2	0	4	4	0	0	5	1	2	0	6	0	0	0	0	1	3	0	5	5	1	1	0	0	0	1	0	0	0	1	1	0
YouTube Search - oklab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TABlog JA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
Bulknews::Subtech	0	0	0	0	0	4	1	0	3	0	0	0	0	0	0	0	0	5	1	2	0	0	0	1	0	0	0	0	0	0	0	2	2	2	4	1	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haida's weblog	3	13	175	31	73	119	8	8	110	117	72	185	46	35	18	57	23	38	781	188	509	22	13	3	2	1	0	82	7	9	7	40	20	140	355	4	8	12	23	45	7	89	17	14	11	20	6	11	192	24	4	2	7	2	2	0	18	12	2	2	3	4	6	3	7	7	2	1	136	1	0	0	6	0	0	0	0	1	0	1	0	10	1	3	8	0	1	1	1	2	1	3	2	0	4	1	9	6	22	0	4	33	2	13	30	4	13	318	0	7	12	6	3	320	20	2	4	1	1	0	17	9	13	3	12	10	72	12	3	0	68	4	0	14	12	11	194	0	0	12	5	72	0	0	9	19	8	0	3	0	4	19	1217	13	11	0	4	4	0	3	4	0	3	7	35	5	5	8	25	0	20	4	10	37	1	14	21	14	2	5	2	0	11	2	36	1	118	0	1	14	2	18	10	4	1	2	29	18	39	2	3	5	5	11	7	7	9	1	9	0	1	1	0	0	7	8	1	13	3	12	5	2	5	4	3	3	0	1	3	18	8	0	0	1	1	5	2	30	340	0	24	9	50	2	5	5	4	5	6	3	12	2	0	4	5	12	6	17	6	8	16	5	2	2	1	4	6	2	10	4	1	15	12	0	10	0	1	3	6	0	10	26	19	6	11	6	4	2	13	0	17	0	13	31	3	1	2	2	0	1	0	3	0	1	3	0	9	0	17	2
四谷工作研究所	10	0	0	1	6	16	6	1	116	46	31	14	26	14	9	5	8	45	5	63	1	2	0	8	0	1	1	0	4	23	3	0	0	1	2	0	9	2	0	6	0	2	6	0	0	13	35	0	2	15	2	0	0	0	0	0	8	4	1	3	0	0	0	0	0	3	0	1	3	0	1	0	6	3	5	0	2	4	0	0	0	9	0	1	0	0	2	5	0	3	3	5	0	0	5	1	2	4	2	0	0	0	0	2	1	0	5	0	0	0	0	5	0	0	1	8	4	0	0	0	0	0	7	0	0	3	0	3	0	0	0	5	0	5	1	0	2	0	0	1	3	5	0	0	0	2	0	0	0	0	2	0	0	0	0	0	3	5	0	3	1	0	0	0	0	1	0	0	0	0	18	0	0	1	0	0	14	0	0	0	0	0	1	0	0	1	2	0	0	1	0	2	9	11	0	0	2	0	1	0	0	4	0	0	0	0	0	0	4	0	0	54	0	4	0	0	0	0	0	14	6	3	0	1	3	2	2	0	0	0	1	0	2	0	1	2	4	0	6	0	11	1	0	0	0	3	0	0	1	0	0	0	0	1	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	1	0	0	4	0	0	0	0	0	1	14	0	0	14	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Piroya Diary	0	0	6	1	0	1	0	0	2	1	7	1	0	0	1	3	0	0	1	4	0	4	0	4	0	0	0	0	2	0	0	0	0	8	3	0	0	0	3	0	0	1	0	2	0	0	0	1	26	0	1	1	3	0	0	1	14	0	0	0	0	0	0	2	2	1	1	2	7	1	0	15	0	8	3	1	0	0	0	0	1	0	0	0	0	0	4	1	1	2	1	0	1	5	0	2	4	0	16	0	4	0	5	0	0	0	1	0	1	1	3	0	8	0	1	0	1	1	4	1	2	0	1	2	0	0	0	0	5	1	0	0	0	0	0	0	26	2	0	6	0	5	1	1	1	0	2	4	2	0	1	2	0	0	1	0	5	0	1	13	3	0	0	5	16	0	0	1	0	0	4	13	1	2	0	4	0	0	0	0	2	0	0	0	11	2	1	0	0	0	0	0	0	0	6	1	2	3	0	0	1	0	0	0	1	0	4	0	1	1	0	0	0	7	1	5	0	2	0	7	5	2	0	0	2	0	1	0	2	0	5	0	0	0	5	0	0	11	1	0	0	0	2	4	0	0	5	3	1	6	0	0	9	0	0	2	0	8	2	4	4	0	3	0	0	0	0	0	0	0	14	6	0	0	4	0	0	0	6	1	1	0	0	4	4	0	0	0	3	15	1	0	0	0	2	0	0	1	5	1	0	1	6	2	4	4	0	0	3	3
